occupation,employment,year,unemployment_rate,total_employment,job_postings_index,real_gdp
Total employed,157538,2019,3.6750000000000003,150905.58333333334,,20715.6715
"Management, professional, and related occupations",64218,2019,3.6750000000000003,150905.58333333334,,20715.6715
Service occupations,26978,2019,3.6750000000000003,150905.58333333334,,20715.6715
Sales and office occupations,33370,2019,3.6750000000000003,150905.58333333334,,20715.6715
"Natural resources, construction, and maintenance occupations",14343,2019,3.6750000000000003,150905.58333333334,,20715.6715
"Production, transportation, and material moving occupations",18628,2019,3.6750000000000003,150905.58333333334,,20715.6715
Total employed,147795,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
"Management, professional, and related occupations",63644,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
Service occupations,22853,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
Sales and office occupations,29726,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
"Natural resources, construction, and maintenance occupations",13357,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
"Production, transportation, and material moving occupations",18215,2020,8.1,142161.41666666666,83.74636255772407,20267.58475
Total employed,152581,2021,5.358333333333333,146277.08333333334,130.9696437532002,21494.79825
Service occupations,24403,2021,5.358333333333333,146277.08333333334,130.9696437532002,21494.79825
Sales and office occupations,30166,2021,5.358333333333333,146277.08333333334,130.9696437532002,21494.79825
"Natural resources, construction, and maintenance occupations",13959,2021,5.358333333333333,146277.08333333334,130.9696437532002,21494.79825
"Production, transportation, and material moving occupations",19309,2021,5.358333333333333,146277.08333333334,130.9696437532002,21494.79825
Total employed,158291,2022,3.641666666666667,152535.83333333334,154.8814589093702,22034.82875
Service occupations,25438,2022,3.641666666666667,152535.83333333334,154.8814589093702,22034.82875
Sales and office occupations,30412,2022,3.641666666666667,152535.83333333334,154.8814589093702,22034.82875
"Natural resources, construction, and maintenance occupations",14260,2022,3.641666666666667,152535.83333333334,154.8814589093702,22034.82875
"Production, transportation, and material moving occupations",20082,2022,3.641666666666667,152535.83333333334,154.8814589093702,22034.82875
Total employed,161037,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
"Management, professional, and related occupations",70275,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
Service occupations,26171,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
Sales and office occupations,30279,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
"Natural resources, construction, and maintenance occupations",14326,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
"Production, transportation, and material moving occupations",19986,2023,3.6333333333333333,155879.08333333334,131.81276324884792,22671.0965
