year,quarter,employment,area_fips
2020,1,2929,US000
2020,1,0,US000
2020,1,537914,US000
2020,2,2951,US000
2020,2,0,US000
2020,2,504343,US000
2020,3,2949,US000
2020,3,0,US000
2020,3,494261,US000
2020,4,2955,US000
2020,4,0,US000
2020,4,482828,US000
2021,1,2944,US000
2021,1,0,US000
2021,1,479082,US000
2021,2,2933,US000
2021,2,0,US000
2021,2,478562,US000
2021,3,2885,US000
2021,3,0,US000
2021,3,477013,US000
2021,4,2837,US000
2021,4,0,US000
2021,4,480689,US000
2022,1,2862,US000
2022,1,0,US000
2022,1,487852,US000
2022,2,2745,US000
2022,2,0,US000
2022,2,499424,US000
2022,3,2724,US000
2022,3,0,US000
2022,3,506262,US000
2022,4,2679,US000
2022,4,0,US000
2022,4,514593,US000
2023,1,2635,US000
2023,1,0,US000
2023,1,521208,US000
2023,2,2601,US000
2023,2,0,US000
2023,2,534152,US000
2023,3,2584,US000
2023,3,0,US000
2023,3,548852,US000
2023,4,2592,US000
2023,4,0,US000
2023,4,556017,US000
2024,1,2628,US000
2024,1,0,US000
2024,1,561244,US000
2024,2,2608,US000
2024,2,0,US000
2024,2,566600,US000
2024,3,2628,US000
2024,3,0,US000
2024,3,565531,US000
2024,4,2647,US000
2024,4,0,US000
2024,4,565388,US000
2025,1,2625,US000
2025,1,0,US000
2025,1,561869,US000
