date,unemployment_rate,gdp,job_postings_index
2020-01-01,3.6,20709.212,
2020-02-01,3.5,20165.472,100.04
2020-03-01,4.4,19621.732,94.54
2020-04-01,14.8,20709.212,68.27
2020-05-01,13.2,20165.472,62.8
2020-06-01,11.0,19621.732,69.88
2020-07-01,10.2,20709.212,77.98
2020-08-01,8.4,20165.472,82.83
2020-09-01,7.8,19621.732,86.16
2020-10-01,6.9,20709.212,90.3
2020-11-01,6.7,20165.472,93.36
2020-12-01,6.7,19621.732,95.04
2021-01-01,6.4,20709.212,97.84
2021-02-01,6.2,20165.472,103.32
2021-03-01,6.1,19621.732,110.7
2021-04-01,6.1,20709.212,122.06
2021-05-01,5.8,20165.472,128.53
2021-06-01,5.9,19621.732,133.21
2021-07-01,5.4,20709.212,137.05
2021-08-01,5.1,20165.472,139.02
2021-09-01,4.7,19621.732,142.99
2021-10-01,4.5,20709.212,146.8
2021-11-01,4.2,20165.472,152.71
2021-12-01,3.9,19621.732,157.39
2022-01-01,4.0,20709.212,156.86
2022-02-01,3.8,20165.472,159.49
2022-03-01,3.7,19621.732,160.72
2022-04-01,3.7,20709.212,160.01
2022-05-01,3.6,20165.472,160.45
2022-06-01,3.6,19621.732,158.54
2022-07-01,3.5,20709.212,155.66
2022-08-01,3.6,20165.472,153.72
2022-09-01,3.5,19621.732,150.99
2022-10-01,3.6,20709.212,148.81
2022-11-01,3.6,20165.472,148.04
2022-12-01,3.5,19621.732,145.29
2023-01-01,3.5,20709.212,141.73
2023-02-01,3.6,20165.472,137.71
2023-03-01,3.5,19621.732,135.95
2023-04-01,3.4,20709.212,136.93
2023-05-01,3.6,20165.472,135.27
2023-06-01,3.6,19621.732,132.2
2023-07-01,3.5,20709.212,129.76
2023-08-01,3.7,20165.472,129.52
2023-09-01,3.8,19621.732,128.51
2023-10-01,3.9,20709.212,126.61
2023-11-01,3.7,20165.472,124.72
2023-12-01,3.8,19621.732,122.85
2024-01-01,3.7,20709.212,120.92
2024-02-01,3.9,20165.472,119.73
2024-03-01,3.9,19621.732,119.78
2024-04-01,3.9,20709.212,119.49
2024-05-01,4.0,20165.472,116.4
2024-06-01,4.1,19621.732,114.66
2024-07-01,4.2,20709.212,113.89
2024-08-01,4.2,20165.472,113.86
2024-09-01,4.1,19621.732,112.82
2024-10-01,4.1,20709.212,110.45
2024-11-01,4.2,20165.472,109.84
2024-12-01,4.1,19621.732,111.3
2025-01-01,4.0,20709.212,110.76
2025-02-01,4.1,,110.14
2025-03-01,4.2,,108.97
